Subject,Start Date,Start Time,End Date,End Time,Description,All Day Event
[若魔藤あんず] 雑談,2025/12/15,20:00,2025/12/15,21:00,にゃんたじあ！スケジュール,False
[若魔白ソーダ] ゲーム,2025/12/15,19:00,2025/12/15,20:00,にゃんたじあ！スケジュール,False
[若魔麦たると] VRC,2025/12/15,21:00,2025/12/15,22:00,にゃんたじあ！スケジュール,False
[若魔影ネオン] ゲーム,2025/12/15,19:00,2025/12/15,20:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] VRC,2025/12/15,21:00,2025/12/15,22:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2025/12/15,23:30,2025/12/16,00:30,にゃんたじあ！スケジュール,False
[ニャマシュバ・ルッツ] 朝活,2025/12/15,07:00,2025/12/15,08:00,にゃんたじあ！スケジュール,False
[ニャマシュバ・ルッツ] 講座,2025/12/15,19:00,2025/12/15,20:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] 講座,2025/12/15,19:00,2025/12/15,20:00,にゃんたじあ！スケジュール,False
[若魔藤あんず] コラボ,2025/12/16,21:00,2025/12/16,22:00,にゃんたじあ！スケジュール,False
[若魔白ソーダ] ゲーム,2025/12/16,,2025/12/16,,にゃんたじあ！スケジュール(時間指定なし),True
[若魔麦たると] コラボ,2025/12/16,20:00,2025/12/16,21:00,にゃんたじあ！スケジュール,False
[若魔影ネオン] ゲーム,2025/12/16,19:00,2025/12/16,20:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ゲーム,2025/12/16,12:15,2025/12/16,13:15,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2025/12/17,00:00,2025/12/17,01:00,にゃんたじあ！スケジュール(24:00表記),False
[若魔陽エル] ゲーム,2025/12/16,12:00,2025/12/16,13:00,にゃんたじあ！スケジュール,False
[若魔陽エル] ゲーム,2025/12/16,20:00,2025/12/16,21:00,にゃんたじあ！スケジュール,False
[ニャマシュバ・ルッツ] ゲーム,2025/12/16,19:00,2025/12/16,20:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] ゲーム,2025/12/16,21:00,2025/12/16,22:00,にゃんたじあ！スケジュール,False
[若魔藤あんず] ゲーム,2025/12/17,20:00,2025/12/17,21:00,にゃんたじあ！スケジュール,False
[若魔白ソーダ] コラボ,2025/12/17,14:00,2025/12/17,15:00,にゃんたじあ！スケジュール,False
[若魔白ソーダ] コラボ,2025/12/17,20:00,2025/12/17,21:00,にゃんたじあ！スケジュール,False
[若魔麦たると] ゲーム,2025/12/17,19:00,2025/12/17,20:00,にゃんたじあ！スケジュール,False
[若魔麦たると] VRC,2025/12/17,21:00,2025/12/17,22:00,にゃんたじあ！スケジュール,False
[若魔影ネオン] ゲーム,2025/12/17,19:00,2025/12/17,20:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ゲーム,2025/12/17,19:00,2025/12/17,20:00,にゃんたじあ！スケジュール,False
