Subject,Start Date,Start Time,End Date,End Time,Description,All Day Event
[若魔雲ふわり] ゲーム,2026/01/05,12:30,2026/01/05,13:30,にゃんたじあ！スケジュール,False
[若魔雲ふわり] にゃまラジ,2026/01/05,19:00,2026/01/05,20:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2026/01/05,23:59,2026/01/06,00:59,にゃんたじあ！スケジュール(24:00表記),False
[若魔雲ふわり] ゲーム,2026/01/06,12:30,2026/01/06,13:30,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2026/01/06,23:59,2026/01/07,00:59,にゃんたじあ！スケジュール(24:00表記),False
[若魔雲ふわり] 朝活,2026/01/07,06:30,2026/01/07,07:30,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2026/01/07,23:59,2026/01/08,00:59,にゃんたじあ！スケジュール(24:00表記),False
[若魔雲ふわり] 企画,2026/01/08,20:00,2026/01/08,21:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ASMR,2026/01/08,23:59,2026/01/09,00:59,にゃんたじあ！スケジュール(24:00表記),False
[若魔雲ふわり] ASMR,2026/01/09,23:59,2026/01/10,00:59,にゃんたじあ！スケジュール(24:00表記),False
[若魔雲ふわり] 歌枠,2026/01/10,21:00,2026/01/10,22:00,にゃんたじあ！スケジュール,False
[若魔雲ふわり] ライブ出演,2026/01/11,,2026/01/11,,にゃんたじあ！スケジュール(時間指定なし),True
[若魔雲ふわり] ASMR,2026/01/11,23:59,2026/01/12,00:59,にゃんたじあ！スケジュール(24:00表記),False
