Subject,Start Date,Start Time,End Date,End Time,Description,All Day Event
[若魔麦たると] VRC,2025/12/15,21:00,2025/12/15,22:00,にゃんたじあ！スケジュール,False
[若魔麦たると] コラボ,2025/12/16,20:00,2025/12/16,21:00,にゃんたじあ！スケジュール,False
[若魔麦たると] ゲーム,2025/12/17,19:00,2025/12/17,20:00,にゃんたじあ！スケジュール,False
[若魔麦たると] VRC,2025/12/17,21:00,2025/12/17,22:00,にゃんたじあ！スケジュール,False
[若魔麦たると] ゲーム,2025/12/18,19:00,2025/12/18,20:00,にゃんたじあ！スケジュール,False
[若魔麦たると] 雑談,2025/12/19,19:30,2025/12/19,20:30,にゃんたじあ！スケジュール,False
[若魔麦たると] VRC,2025/12/19,21:00,2025/12/19,22:00,にゃんたじあ！スケジュール,False
[若魔麦たると] ゲーム,2025/12/20,14:00,2025/12/20,15:00,にゃんたじあ！スケジュール,False
[若魔麦たると] VRC,2025/12/20,21:00,2025/12/20,22:00,にゃんたじあ！スケジュール,False
[若魔麦たると] 歌枠,2025/12/21,,2025/12/21,,にゃんたじあ！スケジュール(時間指定なし),True
